brand,perfume,type,category,target_audience,longevity
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Jean Paul Gaultier,Le Classique Eau de Toilette,EDT,Oriental Floral,Female,Medium
Jean Paul Gaultier,Le Classique Eau Fraiche,EDT,Oriental Floral,Female,Light
Jean Paul Gaultier,Le Classique Eau de Parfum,EDP,Oriental Floral,Female,Strong
Dior,Sauvage EDT,EDT,Aromatic Fougere,Male,Strong
Dior,Sauvage EDP,EDP,Aromatic Fougere,Male,Very Strong
Dior,Sauvage Parfum,Parfum,Aromatic Fougere,Male,Very Strong
Dior,Sauvage Elixir,Parfum,Aromatic Fougere,Male,Very Strong
Dior,Homme Intense,EDP,Floriental,Male,Strong
Dior,Homme Parfum,Parfum,Floriental,Male,Strong
Dior,J'adore EDP,EDP,Floriental,Female,Medium
Dior,J'adore EDT,EDT,Floriental,Female,Medium
Dior,J'adore Parfum d'Eau,EDP,Floriental,Female,Light
Dior,Addict EDP,EDP,Oriental Spicy,Female,Strong
Dior,Addict EDT,EDT,Oriental Spicy,Female,Medium
Dior,Miss Dior EDP,EDP,Floriental,Female,Medium
Dior,Miss Dior EDT,EDT,Floriental,Female,Medium
Dior,Gris Dior,EDP,Woody Floral,Unisex,Medium
Dior,Eau Noire,EDP,Woody Aromatic,Unisex,Medium
Dior,Fahrenheit,EDT,Leather,Unisex,Strong
Dior,Fahrenheit Parfum,Parfum,Leather,Unisex,Very Strong
Dior,Poison,EDT,Oriental Spicy,Female,Strong
Dior,Poison EDP,EDP,Oriental Spicy,Female,Very Strong
Dior,Poison Girl EDP,EDP,Floriental,Female,Medium
Dior,Poison Girl EDT,EDT,Floriental,Female,Medium
Dior,Joy EDP,EDP,Floriental,Female,Medium
Dior,Joy Intense EDP,EDP,Floriental,Female,Medium
Dior,Gris Dior,EDP,Woody Floral,Unisex,Medium
Dior,Leather Oud,EDP,Leather,Unisex,Strong
Dior,Ambre Nuit,EDP,Amber,Unisex,Strong
Dior,Patchouli Imperial,EDP,Woody Chypre,Unisex,Strong
Dior,Feve Delicieuse,EDP,Gourmand,Unisex,Strong
Dior,Vanilla Diorama,EDP,Gourmand,Unisex,Strong
Yves Saint Laurent,Libre EDP,EDP,Floral Amber,Female,Strong
Yves Saint Laurent,Libre Intense EDP,EDP,Floral Amber,Female,Very Strong
Yves Saint Laurent,Libre L'Eau Nue EDP,EDP,Floral,Female,Medium
Yves Saint Laurent,Mon Paris EDP,EDP,Floriental,Female,Medium
Yves Saint Laurent,Mon Paris Intensement EDP,EDP,Floriental,Female,Strong
Yves Saint Laurent,Black Opium EDP,EDP,Ambery Gourmand,Female,Strong
Yves Saint Laurent,Black Opium Intense EDP,EDP,Ambery Gourmand,Female,Very Strong
Yves Saint Laurent,Y EDP,EDP,Aromatic Fougere,Male,Strong
Yves Saint Laurent,Y Eau Fraiche EDT,EDT,Fruity Aromatic,Male,Medium
Yves Saint Laurent,Y Le Parfum,Parfum,Aromatic Fougere,Male,Very Strong
Yves Saint Laurent,L'Homme EDP,EDP,Woody Spicy,Male,Strong
Yves Saint Laurent,L'Homme Parfum Intense EDP,EDP,Woody Spicy,Male,Very Strong
Yves Saint Laurent,L'Homme Ultime EDP,EDP,Woody Spicy,Male,Strong
Yves Saint Laurent,L'Homme Le Parfum,Parfum,Woody Spicy,Male,Very Strong
Yves Saint Laurent,La Nuit de L'Homme EDP,EDP,Woody Spicy,Male,Strong
Yves Saint Laurent,La Nuit de L'Homme Parfum,Parfum,Woody Spicy,Male,Very Strong
Yves Saint Laurent,La Nuit de L'Homme L'Intense EDP,EDP,Woody Spicy,Male,Strong
Dolce & Gabbana,The One EDP,EDP,Amber Floral,Female,Medium
Dolce & Gabbana,The One EDP Intense,EDP,Amber Floral,Female,Strong
Dolce & Gabbana,The Only One EDP,EDP,Floriental,Female,Medium
Dolce & Gabbana,The Only One 2 EDP,EDP,Floriental,Female,Medium
Dolce & Gabbana,Devotion EDP,EDP,Floriental,Female,Strong
Dolce & Gabbana,Devotion EDP Intense,EDP,Floriental,Female,Strong
Dolce & Gabbana,Light Blue EDT,EDT,Fruity Floral,Female,Medium
Dolce & Gabbana,Light Blue EDP,EDP,Fruity Floral,Female,Medium
Dolce & Gabbana,Light Blue Eau Intense EDP,EDP,Fruity Floral,Female,Strong
Dolce & Gabbana,Light Blue Forever EDP,EDP,Fruity Floral,Female,Strong
Dolce & Gabbana,Pour Homme EDT,EDT,Woody Aromatic,Male,Strong
Dolce & Gabbana,Pour Homme Intenso EDP,EDP,Woody Aromatic,Male,Strong
Dolce & Gabbana,The One for Men EDP,EDP,Amber Spicy,Male,Medium
Dolce & Gabbana,The One for Men EDP Intense,EDP,Amber Spicy,Male,Strong
Dolce & Gabbana,The One for Men Parfum,Parfum,Amber Spicy,Male,Strong
Dolce & Gabbana,K by Dolce&Gabbana EDP,EDP,Woody Spicy,Male,Medium
Dolce & Gabbana,K by Dolce&Gabbana Intenso EDP,EDP,Woody Spicy,Male,Strong
Dolce & Gabbana,Light Blue Pour Homme EDT,EDT,Fruity Aromatic,Male,Medium
Dolce & Gabbana,Light Blue Intense Pour Homme EDP,EDP,Fruity Aromatic,Male,Strong
Azzaro,Chrome EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Intense EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Aqua EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Extreme EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Azure EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Legend EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Sport EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Pure EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome United EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Chrome Pure Sport EDT,EDT,Aromatic Fougere,Unisex,Medium
Azzaro,Wanted EDT,EDT,Woody Spicy,Male,Medium
Azzaro,Wanted by Night EDT,EDT,Woody Spicy,Male,Strong
Azzaro,Wanted Eau de Parfum EDP,EDP,Woody Spicy,Male,Medium
Azzaro,Wanted Freeride EDT,EDT,Woody Spicy,Male,Medium
Azzaro,Wanted Tonic EDT,EDT,Citrus Aromatic,Male,Medium
Azzaro,The Most Wanted Parfum,Parfum,Amber Spicy,Male,Strong
Azzaro,The Most Wanted Intense EDP,EDP,Amber Spicy,Male,Very Strong
Azzaro,The Most Wanted Eau de Parfum EDP,EDP,Amber Spicy,Male,Strong
Azzaro,Forever Wanted Elixir EDP,EDP,Amber Woody,Male,Strong
Azzaro,Pour Homme EDT,EDT,Woody Aromatic,Male,Medium
Azzaro,Pour Homme Intense EDP,EDP,Woody Aromatic,Male,Strong
Azzaro,Pour Homme Edition Noire EDP,EDP,Woody Aromatic,Male,Strong
Azzaro,Pour Elle EDP,EDP,Floriental,Female,Medium
Azzaro,Pour Elle L'Eau Tres Belle EDT,EDT,Floriental,Female,Medium
Azzaro,Pour Elle L'Eau Tres Florale EDT,EDT,Floriental,Female,Medium
Azzaro,Mademoiselle EDT,EDT,Floriental,Female,Medium
Azzaro,Mademoiselle L'Eau Tres Belle EDT,EDT,Floriental,Female,Medium
Azzaro,Mademoiselle L'Eau Tres Florale EDT,EDT,Floriental,Female,Medium
Azzaro,Hot Pepper EDT,EDT,Spicy,Female,Medium
Azzaro,Fun EDT,EDT,Floriental,Female,Medium
Azzaro,Visit for Men EDT,EDT,Woody Spicy,Male,Medium
Azzaro,Visit for Women EDT,EDT,Floriental,Female,Medium
Azzaro,Decibel EDT,EDT,Woody Spicy,Male,Medium
Azzaro,Elixir EDP,EDP,Amber Spicy,Male,Strong
Azzaro,Forever Wanted Elixir EDP,EDP,Amber Woody,Male,Strong
Al Haramain,Detour Noir,EDP,Amber Woody,Unisex,6–8 hours
Al Haramain,Detour Eco,EDP,Woody Spicy,Unisex,6–8 hours
Al Haramain,Detour Rouge,EDP,Amber Spicy,Unisex,6–8 hours
Al Haramain,Detour Exclusif,EDP,Woody Spicy,Unisex,6–8 hours
Al Haramain,L'Aventure,EDP,Citrus Woody,Men,6–8 hours
Al Haramain,L'Aventure Intense,EDP,Woody Spicy,Men,6–8 hours
Al Haramain,L'Aventure Blanche,EDP,Floral Woody,Women,6–8 hours
Al Haramain,L'Aventure Femme,EDP,Floriental,Women,6–8 hours
Al Haramain,L'Aventure Knight,EDP,Woody Aromatic,Men,6–8 hours
Al Haramain,L'Aventure Gold,EDP,Floriental,Women,6–8 hours
Al Haramain,Amber Oud Gold Edition,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud White Edition,EDP,Floriental,Unisex,Medium
Al Haramain,Amber Oud Carbon Edition,EDP,Woody Aromatic,Unisex,Strong
Al Haramain,Amber Oud Bleu Edition,EDP,Woody Spicy,Unisex,Strong
Al Haramain,Amber Oud Tobacco Edition,EDP,Amber Spicy,Unisex,Strong
Al Haramain,Amber Oud Ruby Edition,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Dubai Night,EDP,Woody Spicy,Unisex,Medium
Al Haramain,Amber Oud Aqua Dubai,EDP,Woody Aquatic,Unisex,Medium
Al Haramain,Amber Oud Gold Edition Extreme,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Intense,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Limited,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Exclusive,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Supreme,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Royal,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Classic,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Prestige,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Signature,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Elite,EDP,Amber Floral,Unisex,Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Limited,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Exclusive,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Royal,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Classic,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Prestige,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Signature,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Elite,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Limited,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Exclusive,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Royal,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Classic,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Prestige,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Signature,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Al Haramain,Amber Oud Gold Edition Supreme Intense Elite,Extrait de Parfum,Amber Floral,Unisex,Very Strong
Creed,Aventus,EDP,Woody Fruity,Unisex,Strong
Creed,Aventus For Her,EDP,Floriental,Female,Strong
Creed,Silver Mountain Water,EDP,Aromatic,Unisex,Medium
Creed,Green Irish Tweed,EDP,Fougere,Unisex,Medium
Creed,Millésime Impérial,EDP,Fruity Floral,Unisex,Medium
Creed,Original Vetiver,EDP,Woody Aromatic,Unisex,Medium
Creed,Original Santal,EDP,Woody Spicy,Unisex,Medium
Creed,Bois du Portugal,EDP,Woody,Unisex,Medium
Creed,Virgin Island Water,EDP,Tropical,Unisex,Medium
Creed,Tabarome,EDP,Spicy Woody,Unisex,Medium
Creed,Himalaya,EDP,Aromatic,Unisex,Medium
Creed,Viking,EDP,Spicy Woody,Unisex,Medium
Creed,Viking Cologne,EDP,Spicy Woody,Unisex,Medium
Creed,Love in White,EDP,Floriental,Female,Medium
Creed,Wind Flowers,EDP,Floriental,Female,Medium
Creed,Spring Flower,EDP,Floriental,Female,Medium
Creed,Carmina,EDP,Floriental,Female,Medium
Creed,Queen of Silk,EDP,Floriental,Female,Medium
Creed,Eladaria,EDP,Floriental,Female,Medium
Creed,Absolu Aventus,EDP,Woody Fruity,Unisex,Strong
Creed,Royal Mayfair,EDP,Woody Floral,Unisex,Medium
Creed,Delphinus,EDP,Amber Floral,Unisex,Medium
Creed,Centaurus,EDP,Amber Spicy,Unisex,Medium
Creed,Oud Zarian,EDP,Woody Oriental,Unisex,Medium
Versace,Eros Parfum,EDP,Woody Aromatic,Men,Strong
Versace,Eros Flame,EDP,Woody Spicy,Men,Medium
Versace,Eros Energy,EDP,Citrus Aromatic,Men,Medium
Versace,Dylan Blue Pour Homme,EDT,Woody Aquatic,Men,Medium
Versace,Man Eau Fraiche,EDT,Woody Aquatic,Men,Light
Versace,Pour Homme,EDT,Citrus Aromatic,Men,Light
Versace,Crystal Noir,EDT,Amber Floral,Female,Medium
Versace,Bright Crystal,EDP,Floriental,Female,Medium
Versace,Yellow Diamond,EDP,Floriental,Female,Medium
Versace,Red Jeans,EDT,Floriental,Female,Light
Versace,Vanitas,EDP,Floriental,Female,Medium
Versace,L'Homme,EDT,Woody Floral,Men,Medium
Versace,Pour Homme Oud Noir,EDP,Woody Oriental,Men,Medium
Versace,Versense,EDT,Green Floral,Female,Medium
Versace,Atelier Cedrat de Diamante,EDP,Citrus Woody,Unisex,Medium
Versace,Atelier Eclat de Rose,EDP,Floral,Unisex,Medium
Versace,Atelier Encens Supreme,EDP,Incense Woody,Unisex,Medium
Versace,Atelier Santal Boisé,EDP,Sandalwood,Unisex,Medium
Carolina Herrera,Good Girl,EDP,Floriental,Female,Medium
Carolina Herrera,Good Girl Blush,EDP,Floriental,Female,Medium
Carolina Herrera,Good Girl Supreme,EDP,Floriental,Female,Medium
Carolina Herrera,Very Good Girl,EDP,Floriental,Female,Medium
Carolina Herrera,Very Good Girl Elixir,EDP,Floriental,Female,Medium
Carolina Herrera,212 VIP,EDP,Woody Spicy,Female,Medium
Carolina Herrera,212 VIP Black,EDP,Amber Spicy,Female,Medium
Carolina Herrera,212 Heroes,EDT,Woody,Female,Light
Carolina Herrera,212 Sexy,EDT,Floriental,Female,Light
Carolina Herrera,212 Men,EDT,Woody Spicy,Male,Medium
Carolina Herrera,212 Men NYC,EDT,Woody Spicy,Male,Medium
Carolina Herrera,212 VIP Men,EDT,Woody Spicy,Male,Medium
Carolina Herrera,212 VIP Black Elixir,EDP,Amber Spicy,Male,Medium
Carolina Herrera,Bad Boy,EDP,Woody Spicy,Male,Medium
Carolina Herrera,Bad Boy Le Parfum,EDP,Woody Spicy,Male,Medium
Carolina Herrera,Bad Boy Cobalt,EDP,Woody Spicy,Male,Medium
Carolina Herrera,Amber Desire,EDP,Amber,Female,Medium
Carolina Herrera,Neroli Bohème,EDP,Floriental,Female,Medium
Carolina Herrera,Confidential Oud Couture,EDP,Woody,Female,Medium
Hugo Boss,Boss Bottled EDT,EDT,Woody Spicy,Men,Medium
Hugo Boss,Boss Bottled EDP,EDP,Woody Spicy,Men,Strong
Hugo Boss,Boss Bottled Infinite,EDP,Woody Aromatic,Men,Medium
Hugo Boss,Boss Bottled Tonic,EDT,Citrus Aromatic,Men,Light
Hugo Boss,Boss The Scent EDT,EDT,Spicy Oriental,Men,Medium
Hugo Boss,Boss The Scent Intense EDP,EDP,Spicy Oriental,Men,Strong
Hugo Boss,Hugo Man EDT,EDT,Green Aromatic,Men,Light
Hugo Boss,Hugo Just Different EDT,EDT,Woody Aromatic,Men,Light
Hugo Boss,Boss Bottled Night EDT,EDT,Woody Aromatic,Men,Light
Hugo Boss,Boss Ma Vie EDP,EDP,Floriental,Female,Medium
Hugo Boss,Boss Femme EDP,EDP,Floriental,Female,Medium
Hugo Boss,Boss The Scent For Her EDP,EDP,Floriental,Female,Medium
Hugo Boss,Boss The Scent Le Parfum EDP,EDP,Floriental,Female,Medium
Hugo Boss,Boss Bottled Oud,EDP,Woody Oriental,Men,Medium
Hugo Boss,Boss Bottled Elixir,EDP,Woody Spicy,Men,Medium
Hugo Boss,Boss The Scent Le Parfum,EDP,Oriental Woody,Men,Medium
Hugo Boss,Boss The Scent Absolute,EDP,Oriental Woody,Men,Medium
Hugo Boss,Hugo Energise,EDT,Woody Aquatic,Men,Light
Hugo Boss,Hugo Just Different,EDT,Aromatic Green,Men,Light
Hugo Boss,Boss Soul,EDT,Oriental Woody,Men,Medium
Hugo Boss,Boss Selection,EDT,Woody Aromatic,Men,Medium
Hugo Boss,Boss Bottled Sport,EDT,Woody Aromatic,Men,Light
Hugo Boss,Boss Bottled Unlimited,EDT,Citrus Aromatic,Men,Light
Hugo Boss,Boss Bottled Night,EDT,Woody Aromatic,Men,Light
Hugo Boss,Boss Ma Vie L'Eau,EDT,Floral Fruity,Female,Light
Hugo Boss,Boss Femme,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss Nuit Pour Femme,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss Orange,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss The Scent For Her,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss The Scent Magnetic,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss Alive,EDP,Floral Fruity,Female,Medium
Hugo Boss,Boss The Scent Private Accord,EDP,Floral Fruity,Female,Medium
Hugo Boss,Hugo Reversed,EDT,Woody Aromatic,Men,Light
Hermès,Terre d'Hermès EDT,EDT,Woody Citrus,Men,Medium
Hermès,Terre d'Hermès EDP,EDP,Woody Citrus,Men,Strong
Hermès,Terre d'Hermès Eau Très Fraîche,EDT,Woody Citrus,Men,Light
Hermès,Terre d'Hermès Eau Givrée,EDT,Woody Citrus,Men,Light
Hermès,H24 EDT,EDT,Aromatic Green,Men,Medium
Hermès,H24 Herbes Vives EDP,EDP,Aromatic Fougere,Men,Medium
Hermès,Un Jardin sur le Nil EDT,EDT,Green Fruity,Unisex,Light
Hermès,Un Jardin sur le Toit EDT,EDT,Green Fruity,Unisex,Light
Hermès,Un Jardin Méditerranéen EDT,EDT,Green Fruity,Unisex,Light
Hermès,Un Jardin d'Amalfi EDT,EDT,Green Fruity,Unisex,Light
Hermès,Un Jardin en Méditerranée EDT,EDT,Green Fruity,Unisex,Light
Hermès,Un Jardin sur le Toit EDT,EDT,Green Fruity,Unisex,Light
Hermès,24 Faubourg EDP,EDP,Floriental,Female,Medium
Hermès,24 Faubourg EDT,EDT,Floriental,Female,Light
Hermès,Calèche EDP,EDP,Floriental,Female,Medium
Hermès,Calèche EDT,EDT,Floriental,Female,Light
Hermès,Elixir des Merveilles EDP,EDP,Amber Woody,Female,Medium
Hermès,Elixir des Merveilles Bleue EDP,EDP,Amber Woody,Female,Medium
Hermès,Barénia EDP,EDP,Chypre Fruity,Female,Medium
Hermès,Barénia Eau de Parfum Intense,EDP,Chypre Fruity,Female,Medium
Hermès,Barénia Eau de Parfum,EDP,Chypre Fruity,Female,Medium
Hermès,Hermessence Collection EDP,EDP,Woody Floral,Unisex,Medium
Hermès,Oud Alezan EDP,EDP,Woody Floral,Unisex,Medium
Hermès,Épice Marine EDP,EDP,Woody Floral,Unisex,Medium
Hermès,Ambre Narguilé EDP,EDP,Amber Woody,Unisex,Medium
Hermès,Poivre Samarcande EDP,EDP,Spicy Woody,Unisex,Medium
Hermès,Vanille Galante EDP,EDP,Floriental,Unisex,Medium
Hermès,Brin de Réglisse EDP,EDP,Woody Floral,Unisex,Medium
Tom Ford,Black Orchid EDP,EDP,Oriental Floral,Unisex,Strong
Tom Ford,Black Orchid EDT,EDT,Oriental Floral,Unisex,Medium
Tom Ford,Tobacco Vanille EDP,EDP,Oriental Spicy,Unisex,Strong
Tom Ford,Lost Cherry EDP,EDP,Oriental Fruity,Unisex,Strong
Tom Ford,Velvet Orchid EDP,EDP,Floriental,Female,Medium
Tom Ford,Fucking Fabulous EDP,EDP,Oriental Fougere,Unisex,Strong
Tom Ford,Oud Wood EDP,EDP,Woody Oriental,Unisex,Strong
Tom Ford,Noir de Noir EDP,EDP,Oriental Floral,Unisex,Medium
Tom Ford,White Patchouli EDP,EDP,Chypre Floral,Female,Medium
Tom Ford,Black Orchid Parfum,Parfum,Oriental Floral,Unisex,Very Strong
Tom Ford,Neroli Portofino EDT,EDT,Citrus Aromatic,Unisex,Light
Tom Ford,Private Blend Oud Fleur EDP,EDP,Woody Floral,Unisex,Strong
Tom Ford,Fuckin’ Fabulous EDP,EDP,Oriental Spicy,Unisex,Strong
Parfums de Marly,Delina EDP,EDP,Floriental,Female,Strong
Parfums de Marly,Delina Exclusif EDP,EDP,Amber Floral,Female,Strong
Parfums de Marly,Delina La Rosée EDP,EDP,Floriental,Female,Medium
Parfums de Marly,Valaya EDP,EDP,Floral Musky Woody,Female,Strong
Parfums de Marly,Valaya Exclusif EDP,EDP,Floral Musky Woody,Female,Strong
Parfums de Marly,Castley EDP,EDP,Woody Floral,Female,Strong
Parfums de Marly,Palatine EDP,EDP,Woody Fruity,Female,Medium
Parfums de Marly,Althaïr EDP,EDP,Woody Floral,Unisex,Strong
Parfums de Marly,Haltane EDP,EDP,Woody Spicy,Unisex,Strong
Parfums de Marly,Layton EDP,EDP,Amber Spicy,Unisex,Strong
Parfums de Marly,Layton Exclusif EDP,EDP,Amber Spicy,Unisex,Strong
Parfums de Marly,Greenley EDP,EDP,Fruity Woody,Unisex,Medium
Parfums de Marly,Perseus EDP,EDP,Aromatic Woody,Unisex,Strong
Parfums de Marly,Godolphin EDP,EDP,Woody Leather Chypre,Unisex,Strong
Parfums de Marly,Darley EDP,EDP,Amber Fougère,Unisex,Strong
Parfums de Marly,Habdan EDP,EDP,Woody Floral,Unisex,Strong
Parfums de Marly,Oajan EDP,EDP,Amber Spicy,Unisex,Strong
Giorgio Armani,Stronger With You EDT,EDT,Oriental Fougere,Men,Medium
Giorgio Armani,Stronger With You Intensely EDP,EDP,Oriental Spicy,Men,Strong
Giorgio Armani,Stronger With You Absolutely EDP,EDP,Amber Woody,Men,Strong
Giorgio Armani,Stronger With You Leather EDP,EDP,Leather,Men,Strong
Giorgio Armani,Stronger With You Oud EDP,EDP,Woody Oriental,Men,Strong
Giorgio Armani,Stronger With You Only EDP,EDP,Floriental,Men,Medium
Giorgio Armani,Stronger With You Freeze EDP,EDP,Aromatic Aquatic,Men,Medium
Giorgio Armani,Stronger With You Amber EDP,EDP,Amber Spicy,Men,Strong
Giorgio Armani,Stronger With You Parfum,Parfum,Amber Spicy,Men,Strong
Giorgio Armani,Stronger With You Tobacco EDP,EDP,Amber Spicy,Men,Strong
Giorgio Armani,Because It's You EDP,EDP,Floriental,Female,Medium
Giorgio Armani,Because It's You Intensely EDP,EDP,Floriental Fruity,Female,Strong
Giorgio Armani,Armani Code EDT,EDT,Oriental Spicy,Men,Medium
Giorgio Armani,Armani Code Profumo EDP,EDP,Oriental Spicy,Men,Strong
Giorgio Armani,Armani Code Absolu EDP,EDP,Oriental Spicy,Men,Strong
Giorgio Armani,Armani Code Parfum,Parfum,Oriental Spicy,Men,Strong
Giorgio Armani,Acqua di Giò EDT,EDT,Aquatic Aromatic,Men,Medium
Giorgio Armani,Acqua di Giò Profondo EDP,EDP,Aquatic Aromatic,Men,Strong
Giorgio Armani,Acqua di Giò Absolu EDP,EDP,Woody Aquatic,Men,Strong
Giorgio Armani,Acqua di Giò Elixir EDP,EDP,Aquatic Aromatic,Men,Strong
Giorgio Armani,Si EDP,EDP,Chypre Fruity,Female,Strong
Giorgio Armani,Si Passione EDP,EDP,Floriental Fruity,Female,Strong
Giorgio Armani,Si Fiori EDP,EDP,Floriental Fruity,Female,Medium
Giorgio Armani,Si Intense EDP,EDP,Chypre Fruity,Female,Strong
Giorgio Armani,My Way EDP,EDP,Floriental,Female,Medium
Giorgio Armani,My Way Intense EDP,EDP,Floriental,Female,Strong
Giorgio Armani,My Way Parfum,Parfum,Floriental,Female,Strong
Giorgio Armani,My Way Nectar EDP,EDP,Floriental,Female,Strong
Giorgio Armani,Acqua di Giòia EDP,EDP,Aquatic Floral,Female,Medium
Giorgio Armani,Acqua di Giòia Essenza EDP,EDP,Aquatic Floral,Female,Strong
Valentino,Donna Born in Roma EDP,EDP,Floral Woody,Female,Medium
Valentino,Donna Born in Roma Intense EDP,EDP,Amber Floral,Female,Strong
Valentino,Donna Born in Roma Coral Fantasy EDP,EDP,Fruity Floral,Female,Medium
Valentino,Donna Born in Roma Green Stravaganza EDP,EDP,Green Floral,Female,Medium
Valentino,Valentina EDP,EDP,Floriental,Female,Medium
Valentino,Valentina Assoluto EDP,EDP,Floriental,Female,Strong
Valentino,Valentina Pink EDP,EDP,Floral Fruity,Female,Medium
Valentino,Valentina Oud Mystique EDP,EDP,Woody Oriental,Female,Strong
Valentino,Valentino Uomo EDT,EDT,Woody Spicy,Men,Medium
Valentino,Valentino Uomo Intense EDP,EDP,Woody Spicy,Men,Strong
Valentino,Valentino Uomo Noir Absolu EDP,EDP,Woody Aromatic,Men,Strong
Valentino,Valentino Uomo Born in Roma EDP,EDP,Amber Woody,Men,Strong
